q_id,q_text,correct_a_text
q_16,What is the purpose of the following partially-shown dialog box in Figure X?,The purpose of the dialog box is to insert/edit the details of a new bibliographic source into a Word document to later use it inside the bibliography or inside a citation.
q_35,Where do you need to click to change the chart in Figure X 'Chart: Before' to the chart in Figure X 'Chart: After'? Your answer must use a button from the Chart Tools: Format tab.,Select the chart click on the Chart Tools: Format tab Click on the Align button click on 'Align Center' Click on the Align button again click on 'Align Middle'.
q_17,Where do you need to click to change the table in Figure X 'Table: Before' to the table in Figure X 'Table: After'? Your answer must use a button from the Table Tools: Design tab.,Select the table click on the Table Tools: Design tab Click on the Effects button Move the mouse over the 'Shadow' option Click on the 'Perspective: Upper Left' shadow option to add it.
q_19,Where should you click to change the table in Figure X 'Table: Before' to the one in Figure X 'Table: After'?,Right-click inside the 2nd row and select to insert a row below this 2nd row. Alternatively right-click inside the 3rd row and select to insert a row above this 3rd row.
q_66,Where should you click to change the text layout in Picture X 'My Text Layout: Before' to the one in the Picture X 'My Text Layout: After' inside a Word document?,The difference between the layout is in the number of columns: while the 'My Text Layout: Before' Image X has 1 columns the 'My Text Layout: After' Image X has 3 columns. To change the layout to the one shown on the 'My Text Layout: After' Image X you could select the entire text in the document click on the Layout tab click the Column arrow click the 'More Columns...' option and then type the number 3 next to 'Number of Columns'.
q_32,Where should you click to change the text layout in Picture X 'My Text Layout: Before' to the one in the Picture X 'My Text Layout: After' inside a Word document?,The difference between the layout is in the number of columns: while the 'My Text Layout: Before' Image X has 1 columns the 'My Text Layout: After' Image X has 4 columns. To change the layout to the one shown on the 'My Text Layout: After' Image X you could select the entire text in the document click on the Layout tab click the Column arrow click the 'More Columns...' option and then type the number 4 next to 'Number of Columns'.
q_59,Where should you click to change the text layout in Picture X 'My Text Layout: Before' to the one in the Picture X 'My Text Layout: After' inside a Word document?,The difference between the layout is in the number of columns: while the 'My Text Layout: Before' Image X has 2 columns the 'My Text Layout: After' Image X has 3 columns. To change the layout to the one shown on the 'My Text Layout: After' Image X you could select the entire text in the document click on the Layout tab click the Column arrow click the 'More Columns...' option and then type the number 3 next to 'Number of Columns'.
q_72,Where should you click to change the text layout in Picture X 'My Text Layout: Before' to the one in the Picture X 'My Text Layout: After' inside a Word document?,The difference between the layout is in the number of columns: while the 'My Text Layout: Before' Image X has 2 columns the 'My Text Layout: After' Image X has 4 columns. To change the layout to the one shown on the 'My Text Layout: After' Image X you could select the entire text in the document click on the Layout tab click the Column arrow click the 'More Columns...' option and then type the number 4 next to 'Number of Columns'.
q_54,Where should you click to change the watermark in the Picture X 'Watermark: Before' to the watermark in the Picture X 'Watermark: After'?,Click the Design tab click the Watermark arrow click the 'Custom Watermark...' option next to the option Layout click on 'Horizontal' instead of 'Diagonal' click on Apply and close the dialog box.
q_58,Where should you click to save all the recently-made changes in a currently open Word document? (You already saved the document before but just made some changes to it.) Mention two ways.,You could either (1) click on Quick Access Toolbar `Save' button or (2) click Ctrl + S (Cmnd + S on Mac) or (3) click File `Save' option (not `Save As'.) Either two of the options are good for the answer.
q_12,Which button do you need to click to add the text pointed by the red arrows in Figure X? (Note: the object the question is asking about is below the red arrows. The arrows are for illustration only and should NOT be a part of the answer.),Click the Insert Tab Click the 'Header & Footer' button Check the 'Date and time' box Click on the Fixed radio button Check the 'Slide Number' box Check the 'Footer' box Type: 'Presentation about Nothing' Click the 'Apply to All' button to insert this footer.
q_64,Which button in Word should you click to change the 3 paragraphs: My name is Jane. I love cats. I also love pizza. to: (a) My name is Jane. (b) I love cats. (c) I also love pizza.,Select the paragraphs Click the Home Tab Click the Numbering button
q_5,Which button in Word should you click to change the 3 paragraphs: My name is Jane. I love cats. I also love pizza. to: My name is Jane. I love cats. I also love pizza.,Select the paragraphs Click the Home Tab Click the Bullets button
q_26,Which button in Word should you click to change the paragraph: Brooklyn College is an integral part of the artistic energy of New York. to the following paragraph: Brooklyn College is an integral part of the artistic energy of New York.,Select the paragraph Click the Home Tab Click the 'Align Right' button.
q_57,Which button in Word should you click to change the paragraph: Brooklyn College is an integral part of the artistic energy of New York. to the following paragraph: Brooklyn College is an integral part of the artistic energy of New York.,Select the paragraph Click the Home Tab Click the 'Bullets' button to change the paragraph into a bulleted list.
q_53,Which button in Word should you click to change the paragraph: Brooklyn College is an integral part of the artistic energy of New York. to the following paragraph: Brooklyn College is an integral part of the artistic energy of New York.,Select the paragraph Click the Home Tab Click the Borders arrow Either click the 'Outside Borders' option or click the 'Borders and Shading' option and in the dialog box that opens click 'Box' and then OK.
q_39,Which button in Word should you click to change the paragraph: Brooklyn College is an integral part of the artistic energy of New York. to the following paragraph: Brooklyn College is an integral part of the artistic energy of New York.,Select the paragraph Click the Home Tab Click the Center button.
q_37,Which button in Word should you click to change the text: Good morning! to the following text: GOOD MORNING!,Select the phrase Click the Home Tab Click the 'Change Case' arrow (Aa) Click on UPPERCASE
q_50,Which button in Word should you click to change the text: Good morning! to the following text: Good morning!,Select the phrase Click the Home Tab Click inside the 'Font Size' text-box Type the new large font size Click ENTER
q_80,Which button in Word should you click to change the text: Good morning! to the following text: Good morning!,Select the phrase Click the Home Tab Click the Bold (B) button
q_70,Which button in Word should you click to change the text: Good morning! to the following text: Good morning!,Select the phrase Click the Home Tab Click the Font Color arrow Click on the Blue color
q_88,Which button in Word should you click to change the text: Good morning! to the following text: Good morning!,Select the phrase Click the Home Tab Click the Font arrow Scroll down until you find the font name Click on the new font name
q_76,Which button in Word should you click to change the text: Good morning! to the following text: Good morning!,Select the phrase Click the Home Tab Click the Italic (I) button
q_97,Which button in Word should you click to change the text: Good morning! to the following text: Good morning!,Select the phrase Click the Home Tab Click the Underline (U) button
q_13,You are are working on a PowerPoint presentation with 3 slides. The thumbnails (small Picture X s) of your slides are displayed in the Slides tab/area shown in Figure X 'My Slides'. Where should you click to change the Slides tab to the one in Figure X 'My Slides: Changed'?,Click on Slide 2 in the Slides tab/area Drag it below the Slide 3 When you notice that Slide 3 move above Slide 2 release the mouse. Now the two slides exchanged their order!
q_27,You are editing a bulleted list. What happens when you click on the button in the Image X in Figure X?,When you click on this Increase List Level button the item in the list changes its importance to 2nd level point 3rd level point etc.
q_3,You changed the font of some text in a Word document by mistake. Describe one way of un-doing this change.,(easiest:) Click the Undo button in the Quick Access Toolbar at the top-left of the Word window OR use the Ctrl+Z / Cmnd+Z shortcuts.
q_1,You inserted an oval shape into your Word document shown in Figure X 'Added Oval Shape'. Where should you click to change the location of the oval in the document to the one shown in Figure X 'Moved Oval'? [Note: you must use a button on the Drawing Tools (Shape) Format Tab. Don't answer 'I can simply drag it there with the mouse.'],Select the shape Click the Drawing Tools (Shape) Format Click the Position button Click 'Position in Top Center with Square Wrapping.'
